active,area,configid,lat,long,meter number,sub area,zone
1,Route 17,1675,39.956287,-82.994896,SO506,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,982,39.957993,-82.99453,EG227,RICH ST E,"Columbus, OH Default Zone"
1,Route 17,4266,39.95804,-82.99411,EG251,RICH ST E,"Columbus, OH Default Zone"
1,Route 17,982,39.95824,-82.993744,EG222,RICH ST E,"Columbus, OH Default Zone"
0,Route 17,979,39.95663,-82.99695,SM423,THIRD ST S,"Columbus, OH Default Zone"
0,Route 24,979,39.97906,-83.002785,K253,HUBBARD AVE E,"Columbus, OH Default Zone"
0,Route 24,979,39.97823,-83.00363,K654,HIGH ST N,"Columbus, OH Default Zone"
0,Route 24,979,39.979107,-83.00238,K263,HUBBARD AVE E,"Columbus, OH Default Zone"
1,Route 24,979,39.976624,-83.00332,K578,HIGH ST N,"Columbus, OH Default Zone"
1,Route 24,979,39.97765,-83.003746,K611,HIGH ST N,"Columbus, OH Default Zone"
1,Route 24,988,39.974133,-83.00305,K493,HIGH ST N on cap,"Columbus, OH Default Zone"
1,Route 24,979,39.976105,-83.00344,K553,HIGH ST N on cap,"Columbus, OH Default Zone"
1,Route 24,979,39.978382,-83.00366,K604,HIGH ST N,"Columbus, OH Default Zone"
0,Route 24,979,39.976788,-83.003784,V33,BUTTLES LOT,"Columbus, OH Default Zone"
0,Route 24,979,39.97908,-83.00352,K252,HUBBARD AVE E,"Columbus, OH Default Zone"
1,Route 24,979,39.97866,-83.004456,K239,HUBBARD AVE W,"Columbus, OH Default Zone"
1,Route 24,979,39.975986,-83.00342,K549,HIGH ST N on cap,"Columbus, OH Default Zone"
1,Route 24,979,39.979073,-83.003586,K250,HUBBARD AVE E,"Columbus, OH Default Zone"
1,Route 24,979,39.97655,-83.003525,K555,HIGH ST N on cap,"Columbus, OH Default Zone"
1,Route 24,979,39.976315,-83.00348,K571,HIGH ST N on cap,"Columbus, OH Default Zone"
1,Route 24,979,39.9765,-83.00352,K577,HIGH ST N on cap,"Columbus, OH Default Zone"
1,Route 24,979,39.97866,-83.004456,K314,HUBBARD AVE W,"Columbus, OH Default Zone"
0,Route 24,979,39.979122,-83.00223,K267,HUBBARD AVE E,"Columbus, OH Default Zone"
1,Route 01,1675,39.96511,-83.00042,ER14,Long St E,"Columbus, OH Default Zone"
0,Route 01,979,39.964947,-83.00181,WR25,Long St W,"Columbus, OH Default Zone"
1,Route 01,1675,39.967735,-83.001305,EV6,Chestnut St E,"Columbus, OH Default Zone"
